no_runs,no_rbi,no_bb,yr_major,cr_runs,cr_rbi,cr_bb,logsalar,team_Baltimore,team_Boston,team_California,team_Chicago,team_Cincinnati,team_Cleveland,team_Detroit,team_Houston,team_KansasCity,team_LosAngeles,team_Milwaukee,team_Minneapolis,team_Montreal,team_NewYork,team_Oakland,team_Philadelphia,team_Pittsburgh,team_SanDiego,team_SanFrancisco,team_Seattle,team_StLouis,team_Texas,team_Toronto,league_National,division_West,position_2B,position_3B,position_C,position_CF,position_LF,position_OF,position_RF,position_SS,position_other,BA,CBA,HRR,CHRR,FP
30,29,14,1,30,29,14,4.312989395055619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2252559726962457,0.2252559726962457,0.0034129692832764,0.0034129692832764,0.9599198396793588
24,38,39,14,321,414,375,6.163314804,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2571428571428571,0.2420991591765729,0.0222222222222222,0.0200057987822557,0.9854014598540146
66,72,76,3,224,266,263,6.1737861039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2713987473903966,0.2814039408866995,0.0375782881002087,0.0387931034482758,0.985655737704918
65,78,37,11,828,838,354,6.2146080984,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2842741935483871,0.2798507462686567,0.0403225806451612,0.0399786780383795,0.985981308411215
39,42,30,2,48,46,33,4.5163389723,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2710280373831775,0.255050505050505,0.0311526479750778,0.0303030303030303,0.9952885747938752
74,51,35,11,501,336,194,6.6200732065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2845117845117845,0.257032667876588,0.0067340067340067,0.0043103448275862,0.9656593406593408
23,8,21,2,30,9,24,4.248495242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.2,0.1962616822429906,0.0054054054054054,0.0046728971962616,0.9666666666666668
24,24,7,3,41,37,12,4.605170186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2449664429530201,0.212180746561886,0.0,0.0,0.9782082324455206
26,32,8,2,32,34,8,4.3174881135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.2507739938080495,0.252199413489736,0.0185758513931888,0.0175953079178885,0.9579646017699116
49,66,65,13,784,890,866,7.0030654588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2294264339152119,0.2558586246638494,0.0423940149625935,0.0485977718017671,0.0
107,75,59,10,702,504,488,6.248319432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2770034843205575,0.2807169077952925,0.0365853658536585,0.019434247462751,0.9687943262411348
